Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,nr_steps_,linear_stddev,angular_stddev,lambda,final_inflation
RL,0,1.3219521856935992e-06,-0.008692789542795816,0.6153722405433655,14.53209643960447,0.467918941867298,1,1.0868416373838419,0.08257194702260857,1.9207732677459717,3.31368350982666,375,20,0.15468035638332367,0.14247263967990875,0.33382582664489746,0.6153722405433655
RL,1,1.0868416373838419,0.08257194702260857,0.6304340958595276,13.957004751477752,0.575091688126717,1,1.1145450574485252,0.018628207679286957,2.3076331615448,3.116337299346924,399,21,0.15563805401325226,0.16080975532531738,0.7558820247650146,0.6304340958595276
RL,2,1.1145450574485252,0.018628207679286957,0.5980399250984192,13.399390515930572,0.5576142355471809,1,0.951510826051669,-0.09552232309667072,1.846887469291687,3.3173563480377197,398,23,0.15930870175361633,0.163710355758667,0.7656912803649902,0.5980399250984192
RL,3,0.951510826051669,-0.09552232309667072,0.6148619651794434,12.893786712178699,0.5056038037518729,1,0.9677514442168563,-0.7137586725354929,1.8641350269317627,3.5869712829589844,385,18,0.14920446276664734,0.13360226154327393,0.622551441192627,0.6148619651794434
RL,4,0.9677514442168563,-0.7137586725354929,0.5729578733444214,12.438869008553896,0.4549177036248029,1,0.8888815719893339,-0.6064455291511208,1.6516122817993164,3.033656597137451,387,21,0.1576233059167862,0.1451885849237442,0.5501043796539307,0.5729578733444214
RL,5,0.8888815719893339,-0.6064455291511208,0.5842509865760803,12.013889335202071,0.4249796733518245,1,0.8255736364058934,-0.17025098338042255,2.042799472808838,3.2663979530334473,412,21,0.12634779512882233,0.1300227791070938,-0.05853748321533203,0.5842509865760803
RL,6,0.8255736364058934,-0.17025098338042255,0.5765288472175598,11.681606742627276,0.33228259257479564,1,0.7663078388614987,0.15949703933714515,2.1918227672576904,3.3120131492614746,806,18,0.14810514450073242,0.1489219069480896,0.43993663787841797,0.5765288472175598
RL,7,0.7663078388614987,0.15949703933714515,0.6295652389526367,11.366301730412411,0.3153050122148642,1,0.6962436274041497,0.29431368933175983,1.8898588418960571,2.545079231262207,609,21,0.05719172582030296,0.13694706559181213,1.2961068153381348,0.6295652389526367
RL,8,0.6962436274041497,0.29431368933175983,0.682612955570221,11.095953488158349,0.2703482422540624,1,0.512471509520681,0.403842751061639,2.4223108291625977,3.2044248580932617,420,21,0.1514938622713089,0.15289008617401123,1.357117772102356,0.682612955570221
RL,9,0.512471509520681,0.403842751061639,0.6432456970214844,10.84406106039705,0.25189242776129817,1,0.6887685471564466,1.1321619118357067,1.952357292175293,3.1337199211120605,405,27,0.14755094051361084,0.1507362425327301,1.5328868627548218,0.6432456970214844
RL,10,0.15884622946407478,0.03661689947541285,0.5484458208084106,10.648842498457967,0.07131849634256682,1,0.0955784224128136,0.028637131742990745,2.0721917152404785,0.03748726844787598,792,18,0.1588597446680069,0.1370745450258255,1.4342010021209717,0.5484458208084106
RL,11,0.10620836020784073,0.034002485323284516,0.5295611619949341,10.490377304380354,0.09766467711966165,1,0.1833580952036103,0.33544456338949735,2.0884153842926025,0.7744737267494202,852,36,0.1645193099975586,0.14714907109737396,1.2653974294662476,0.5295611619949341
RL,12,0.1833580952036103,0.33544456338949735,0.599675178527832,10.160323138485998,0.33005416589435654,1,1.2229197275691612,0.03758282707103449,2.1619484424591064,0.5552029609680176,773,19,0.1556553989648819,0.14254285395145416,-0.17566394805908203,0.599675178527832
RL,13,1.2229197275691612,0.03758282707103449,0.6288354396820068,9.540751016931763,0.6195721215542349,1,1.1014156994870206,-0.006002186721397876,2.2987539768218994,3.3677337169647217,394,17,0.13848310708999634,0.1347077339887619,4.378805160522461,0.6288354396820068
RL,14,1.1014156994870206,-0.006002186721397876,0.6295218467712402,8.90022333431108,0.6405276826206823,1,1.2964900496604814,-0.6717129348801374,2.034606456756592,3.049121856689453,416,20,0.1445731520652771,0.1412411332130432,0.143829345703125,0.6295218467712402
