Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
RL,0,20,0,1.557632156132063e-07,-2.415892747131081,success,12.844999999999999,world_0.world,9.215256159131702,0.5
RL,0,20,0,1.694914966963565e-07,-1.9758926430559502,success,11.812000000000001,world_0.world,9.215256159131702,0.5
RL,0,20,0,1.6077167833252761e-07,-2.534157218900483,success,12.451,world_0.world,9.215256159131702,0.5
HB,21,44,0,1.0810809642074634e-07,-4.30378487352721,success,18.504,world_0.world,9.215256159131702,0.49801427578532753
RL,45,64,0,1.7361108097029845e-07,-1.8782146468178054,success,11.539000000000001,world_0.world,9.215256159131702,0.5
HB,65,90,0,1.1454752410681282e-07,-3.354186774138717,success,17.466,world_0.world,9.215256159131702,0.5
RL,91,108,0,1.8903588108962553e-07,-2.6085137117029378,success,10.593999999999994,world_0.world,9.215256159131702,0.5
HB,109,133,0,1.1806374048834234e-07,-3.606825621677982,success,16.954000000000008,world_0.world,9.215256159131702,0.5
