Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
VLM,0,29,0,1.19617210572104e-07,-6.637559908600005,success,16.724999999999998,world_299.world,8.407246218783108,0.5
VLM,0,30,0,1.1520735999915208e-07,-7.672566047163183,success,17.366,world_299.world,8.407246218783108,0.48412105371318137
VLM,0,26,6,0.3758213698000828,-17.114570487620558,collision,15.27,world_299.world,8.407246218783108,0.0
VLM,0,22,0,1.5624997558594132e-07,-2.1518141256765975,success,12.802000000000001,world_298.world,7.998182157301491,0.5
VLM,0,21,0,1.628664229859246e-07,-2.231808888537887,success,12.280000000000001,world_298.world,7.998182157301491,0.5
VLM,0,25,0,1.3831256731499762e-07,-2.343118100964065,success,14.461999999999998,world_298.world,7.998182157301491,0.5
VLM,0,25,0,1.3422816990225908e-07,-3.3071191600272836,success,14.912,world_297.world,7.826528565435303,0.5
VLM,0,26,0,1.321003788506765e-07,-4.180567905068469,success,15.15,world_297.world,7.826528565435303,0.5
VLM,0,25,0,1.3661200319508155e-07,-3.6197724423694324,success,14.623000000000001,world_297.world,7.826528565435303,0.5
VLM,0,22,0,1.560062159116668e-07,-3.6276575394233146,success,12.832999999999998,world_297.world,7.826528565435303,0.5
VLM,0,23,0,1.5105737899435365e-07,-3.893821449498696,success,13.265000000000002,world_297.world,7.826528565435303,0.5
VLM,0,23,0,1.5105737899435365e-07,-3.9068557975310316,success,13.258,world_297.world,7.826528565435303,0.5
VLM,0,23,0,1.5082953984471497e-07,-4.7188699327614785,success,13.270999999999999,world_296.world,7.77842316226422,0.5
VLM,0,32,3,0.7043478582230589,-23.42044391402413,collision,18.424999999999997,world_296.world,7.77842316226422,0.0
VLM,0,33,4,0.2747934633477827,-11.674512294356898,collision,19.404000000000003,world_294.world,8.261333769311195,0.0
VLM,0,29,0,0.0023641841177087335,-6.654113682400454,success,16.941,world_294.world,8.261333769311195,0.4876532536043442
VLM,0,22,2,0.010836066434045444,-3.4813944669207815,collision,12.928,world_294.world,8.261333769311195,0.0
VLM,0,42,3,0.6088407332076119,-19.337912055081592,collision,23.990000000000002,world_293.world,7.997672131399035,0.0
VLM,0,25,3,0.42955808984004284,-2.9087466217445384,collision,14.499,world_293.world,7.997672131399035,0.0
VLM,0,65,1,0.43148049358940593,-33.55587066382611,success,36.352,world_293.world,7.997672131399035,0.0
VLM,0,35,3,0.5868498933415217,-18.670135696185792,collision,20.412999999999997,world_292.world,9.189719208423899,0.0
VLM,0,19,0,1.7825308765542112e-07,-2.036347071764026,success,11.236999999999998,world_292.world,9.189719208423899,0.5
VLM,0,28,3,0.4469136485291792,-5.465357898535905,collision,16.266,world_293.world,7.997672131399035,0.0
VLM,0,31,1,0.04820638473022593,-5.404394491528207,success,17.839,world_293.world,7.997672131399035,0.0
VLM,0,65,4,0.650511596633732,-29.203443786729814,collision,37.155,world_293.world,7.997672131399035,0.0
VLM,0,20,0,1.6806719864416831e-07,-1.8655776302952012,success,11.904000000000002,world_292.world,9.189719208423899,0.5
VLM,0,19,0,1.7730493310196223e-07,-2.216694197980983,success,11.297,world_292.world,9.189719208423899,0.5
VLM,0,21,0,1.6366609432633482e-07,-1.9739183767004425,success,12.244,world_292.world,9.189719208423899,0.5
VLM,0,50,4,0.6348774090682964,-15.113649792167138,collision,29.381,world_291.world,8.268512621393903,0.0
VLM,0,42,0,0.009892909324574664,-11.099442738587102,success,24.262,world_291.world,8.268512621393903,0.340800948866289
VLM,0,63,3,0.6564019634574844,-28.085775502160146,collision,37.028000000000006,world_291.world,8.268512621393903,0.0
VLM,0,18,0,1.883238816715854e-07,-2.2402633926453683,success,10.639,world_290.world,7.731003683421283,0.5
VLM,0,19,0,1.7793591139930404e-07,-2.346562997731719,success,11.270999999999999,world_290.world,7.731003683421283,0.5
VLM,0,18,0,1.8656712937180424e-07,-1.8683345853748419,success,10.725000000000001,world_290.world,7.731003683421283,0.5
VLM,0,20,0,1.694914966963565e-07,-1.9062223557981892,success,11.821,world_289.world,7.884942331552407,0.5
VLM,0,19,0,1.7889084456335518e-07,-1.7329944265387252,success,11.184999999999999,world_289.world,7.884942331552407,0.5
VLM,0,20,0,1.7182127631936836e-07,-2.4421240564446163,success,11.64,world_289.world,7.884942331552407,0.5
VLM,0,24,0,1.4409219825760834e-07,-3.6564096076109536,success,13.881,world_288.world,7.676966908159272,0.5
VLM,0,21,0,1.6366609432633482e-07,-2.031157200764529,success,12.229000000000001,world_288.world,7.676966908159272,0.5
VLM,0,23,0,1.4903127436195615e-07,-2.932539441289163,success,13.421999999999999,world_288.world,7.676966908159272,0.5
VLM,0,11,3,0.01785743516147763,-1.1875202168459622,collision,6.728999999999999,world_287.world,8.433999179342374,0.0
VLM,0,25,0,0.020491937091265424,-5.319368151277246,success,14.647000000000002,world_287.world,8.433999179342374,0.5
VLM,0,11,3,0.03254466492761393,-0.9443795503769554,collision,6.774999999999999,world_287.world,8.433999179342374,0.0
VLM,0,25,2,0.7627346162554134,-12.558849802343373,collision,14.921,world_286.world,8.085594036502888,0.0
VLM,0,39,4,0.5022381824316757,-14.448027627678211,collision,22.339999999999996,world_286.world,8.085594036502888,0.0
VLM,0,33,3,0.2938733858906141,-14.049268861272445,collision,19.262999999999998,world_286.world,8.085594036502888,0.0
VLM,0,26,0,1.305482858292055e-07,-6.332563115279403,success,15.334999999999997,world_285.world,8.657291412439974,0.5
VLM,0,34,0,0.0020121728357975015,-12.562318996638158,success,19.879,world_285.world,8.657291412439974,0.43549934163891413
VLM,0,53,4,0.7596281700114097,-23.071757756525866,collision,30.124000000000002,world_285.world,8.657291412439974,0.0
VLM,0,20,0,1.7241376337693738e-07,-0.6121492988372963,success,11.613000000000001,world_284.world,7.85639571685466,0.5
VLM,0,19,0,1.7985608275969736e-07,-0.6686358339680872,success,11.128,world_284.world,7.85639571685466,0.5
VLM,0,19,0,1.7953318141235524e-07,-0.6477814794477854,success,11.14,world_284.world,7.85639571685466,0.5
VLM,0,24,0,1.422474904342119e-07,-4.571842007202865,success,14.089000000000002,world_283.world,8.025752695075083,0.5
VLM,0,24,0,1.4144269569410246e-07,-4.698410131419449,success,14.154,world_283.world,8.025752695075083,0.5
VLM,0,23,0,1.4836793050920914e-07,-3.9396931276187557,success,13.494000000000002,world_283.world,8.025752695075083,0.5
VLM,0,18,0,1.8761722558776257e-07,-0.5304601564557573,success,10.677,world_282.world,8.091436813921078,0.5
VLM,0,27,0,1.2658226245794147e-07,-8.124063798538959,success,15.804999999999998,world_282.world,8.091436813921078,0.5
VLM,0,17,0,1.9723861987403949e-07,-0.5121193065954901,success,10.142000000000001,world_282.world,8.091436813921078,0.5
VLM,0,20,0,1.7035772225592467e-07,-1.8912848091140508,success,11.754,world_281.world,7.753104122766794,0.5
VLM,0,19,0,1.8050538258025587e-07,-1.6236963127531392,success,11.083,world_281.world,7.753104122766794,0.5
VLM,0,19,0,1.7793591139930404e-07,-1.6601750381054006,success,11.242,world_281.world,7.753104122766794,0.5
