Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
VLM,0,30,0,1.149425155238488e-07,-7.682584860675675,success,17.410999999999998,world_299.world,8.407246218783108,0.48286980752300895
VLM,0,29,0,1.1778561627966829e-07,-6.825593345874845,success,16.997,world_299.world,8.407246218783108,0.4946311830783731
VLM,0,31,0,0.0011124581632415836,-8.33532646443602,success,17.985,world_299.world,8.407246218783108,0.46745878336297514
VLM,0,20,0,1.6778520674744855e-07,-2.0759009710578877,success,11.924999999999999,world_298.world,7.998182157301491,0.5
VLM,0,25,0,1.3531797898268214e-07,-2.964160786577586,success,14.790000000000001,world_298.world,7.998182157301491,0.5
VLM,0,24,0,1.4245012215810227e-07,-2.0522053465760464,success,14.063999999999998,world_298.world,7.998182157301491,0.5
VLM,0,28,0,1.2033692896065837e-07,-5.572367592458205,success,16.628,world_297.world,7.826528565435303,0.47068370011037425
VLM,0,26,0,1.3106158177436676e-07,-4.121531772393306,success,15.262,world_297.world,7.826528565435303,0.5
VLM,0,26,0,1.2953366197750494e-07,-4.783434957565989,success,15.443999999999999,world_297.world,7.826528565435303,0.5
VLM,0,22,0,1.5873013353489945e-07,-3.1866306071646786,success,12.602000000000002,world_297.world,7.826528565435303,0.5
VLM,0,22,0,1.5673978734486092e-07,-2.9309868439830113,success,12.771,world_297.world,7.826528565435303,0.5
VLM,0,22,0,1.5313933336304237e-07,-4.0348719705626515,success,13.079,world_297.world,7.826528565435303,0.5
VLM,0,37,3,0.601482891428833,-12.330565718640454,collision,21.622,world_296.world,7.77842316226422,0.0
VLM,0,21,0,1.628664229859246e-07,-3.2103345172759683,success,12.293,world_296.world,7.77842316226422,0.5
VLM,0,31,1,0.6609071640489024,-13.231146657225034,collision,18.537,world_296.world,7.77842316226422,0.0
VLM,0,38,0,9.041590502568672e-08,-9.639229222337116,success,22.155,world_295.world,8.500779295370204,0.38369574792914485
VLM,0,47,2,0.6031746318055821,-9.650242024190586,collision,27.738,world_295.world,8.500779295370204,0.0
VLM,0,28,0,1.237623609204999e-07,-5.168052130769411,success,16.198,world_294.world,8.261333769311195,0.5
VLM,0,38,3,0.4290976584624624,-13.398060173652556,collision,21.737999999999996,world_294.world,8.261333769311195,0.0
VLM,0,29,0,1.201922932461186e-07,-5.89082778308141,success,16.650000000000002,world_294.world,8.261333769311195,0.49617620236103266
VLM,0,42,0,0.06063130725653595,-14.767337261767407,success,24.198000000000004,world_293.world,7.997672131399035,0.33050963432511093
VLM,0,24,3,0.40170948693597053,-3.9272600985259376,collision,14.04,world_293.world,7.997672131399035,0.0
VLM,0,18,3,0.25274738960670523,-1.4789060279416022,collision,10.915,world_293.world,7.997672131399035,0.0
VLM,0,20,0,1.6806719864416831e-07,-2.10424167907521,success,11.906,world_292.world,9.189719208423899,0.5
VLM,0,29,0,0.07243001490303565,-7.2347144574996385,success,17.118000000000002,world_292.world,9.189719208423899,0.5
VLM,0,14,3,0.039443378319401784,-0.9941920862510175,collision,8.617,world_292.world,9.189719208423899,0.0
VLM,0,35,0,0.001955131773691909,-10.477444116864909,success,20.474,world_291.world,8.268512621393903,0.403854284526419
VLM,0,70,3,0.5995074088912606,-36.76059815909968,collision,40.609,world_291.world,8.268512621393903,0.0
VLM,0,32,0,0.007543210394050604,-8.114702055729255,success,18.57,world_291.world,8.268512621393903,0.44526185360225645
VLM,0,21,0,1.628664229859246e-07,-3.7638316521452215,success,12.298,world_290.world,7.731003683421283,0.5
VLM,0,21,0,1.626015995769757e-07,-2.9879417345121935,success,12.309000000000001,world_290.world,7.731003683421283,0.5
VLM,0,18,0,1.8656712937180424e-07,-1.914815017346998,success,10.739,world_290.world,7.731003683421283,0.5
VLM,0,20,0,1.7035772225592467e-07,-1.7296337155518067,success,11.753,world_289.world,7.884942331552407,0.5
VLM,0,19,0,1.7793591139930404e-07,-1.7321227761336215,success,11.241000000000001,world_289.world,7.884942331552407,0.5
VLM,0,19,0,1.7857139668367917e-07,-1.7757447681014604,success,11.215000000000002,world_289.world,7.884942331552407,0.5
VLM,0,24,0,1.4184395151149624e-07,-3.581332902133257,success,14.113000000000001,world_288.world,7.676966908159272,0.5
VLM,0,23,0,1.5151512855831386e-07,-2.434558153202475,success,13.201,world_288.world,7.676966908159272,0.5
VLM,0,22,0,1.5748029016058424e-07,-1.8190142412793557,success,12.713,world_288.world,7.676966908159272,0.5
VLM,0,34,0,1.0277491235612413e-07,-12.22116490284733,success,19.459000000000003,world_287.world,8.433999179342374,0.4334240803403244
VLM,0,23,0,1.4880950166525275e-07,-4.316574626716564,success,13.454,world_287.world,8.433999179342374,0.5
VLM,0,23,0,1.503759172367042e-07,-4.042040442611957,success,13.31,world_287.world,8.433999179342374,0.5
VLM,0,26,0,1.321003788506765e-07,-5.01286983602938,success,15.143,world_286.world,8.085594036502888,0.5
VLM,0,28,2,0.07768198795536524,-4.66355111420118,success,16.23,world_286.world,8.085594036502888,0.0
VLM,0,24,0,1.4306149598547983e-07,-4.9284450029652564,success,13.996,world_286.world,8.085594036502888,0.5
VLM,0,39,0,0.0034965906034448773,-12.898320210331606,success,22.961000000000006,world_285.world,8.657291412439974,0.3770433087600702
VLM,0,25,0,1.3661200319508155e-07,-5.517671790149104,success,14.65,world_285.world,8.657291412439974,0.5
VLM,0,16,2,0.438133988208116,-6.650231658142398,collision,9.862999999999998,world_285.world,8.657291412439974,0.0
VLM,0,20,0,1.7241376337693738e-07,-0.6020943652428743,success,11.616000000000001,world_284.world,7.85639571685466,0.5
VLM,0,20,0,1.715265571995614e-07,-0.6835831725190028,success,11.671,world_284.world,7.85639571685466,0.5
VLM,0,19,0,1.7889084456335518e-07,-0.6503481555867098,success,11.184999999999999,world_284.world,7.85639571685466,0.5
VLM,0,30,0,0.030998963145928458,-6.373202188860132,success,17.424,world_283.world,8.025752695075083,0.4606148240975139
VLM,0,41,3,0.6233108426257734,-18.702533282753652,collision,23.696,world_283.world,8.025752695075083,0.0
VLM,0,21,0,1.6181227155141238e-07,-3.020752241656019,success,12.370999999999999,world_283.world,8.025752695075083,0.5
VLM,0,19,0,1.7793591139930404e-07,-0.5456671339769241,success,11.245,world_282.world,8.091436813921078,0.5
VLM,0,18,0,1.8382349562068098e-07,-0.5416833139711105,success,10.893,world_282.world,8.091436813921078,0.5
VLM,0,35,5,0.7189349389610514,-17.61558445431498,collision,20.426,world_282.world,8.091436813921078,0.0
VLM,0,19,0,1.769911191166161e-07,-1.4371108031997792,success,11.312000000000001,world_281.world,7.753104122766794,0.5
VLM,0,20,0,1.700679982877554e-07,-1.194066979602964,success,11.760000000000002,world_281.world,7.753104122766794,0.5
VLM,0,20,0,1.709401417196339e-07,-1.4368841694211743,success,11.702999999999998,world_281.world,7.753104122766794,0.5
VLM,0,20,0,1.669448803097028e-07,-2.895077099884353,success,11.991999999999999,world_280.world,7.906981912732345,0.5
VLM,0,23,1,0.0014904617748939233,-2.5507844012976286,success,13.43,world_280.world,7.906981912732345,0.0
VLM,0,20,0,1.692047091024181e-07,-2.5760528832578755,success,11.833000000000002,world_280.world,7.906981912732345,0.5
VLM,0,31,0,1.1049722535942262e-07,-8.082045470717794,success,18.1,world_279.world,8.141257752809178,0.4497932460115568
VLM,0,19,3,0.3842011877556216,-8.070621753436049,collision,11.158,world_279.world,8.141257752809178,0.0
VLM,0,31,1,0.02024757927473799,-8.062905944881654,success,17.836,world_279.world,8.141257752809178,0.0
VLM,0,25,0,1.3679888689481714e-07,-4.818498716823359,success,14.620000000000001,world_278.world,8.04702608075498,0.5
VLM,0,25,0,1.3736261849414581e-07,-3.1045680290617175,success,14.566,world_278.world,8.04702608075498,0.5
VLM,0,23,0,1.477104656262237e-07,-2.706224873410224,success,13.54,world_278.world,8.04702608075498,0.5
VLM,0,58,3,0.7541866175725707,-43.302411549895815,collision,33.45,world_277.world,8.48636998300088,0.0
VLM,0,24,0,1.4388487138347175e-07,-3.335417936816066,success,13.905000000000001,world_277.world,8.48636998300088,0.5
VLM,0,35,2,0.6792079525536681,-8.000264459796156,collision,20.223,world_277.world,8.48636998300088,0.0
