Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_x_backwards,max_vel_theta,dt_ref,min_obstacle_dist,inflation_dist,final_inflation
RL,0,8.935089342199139e-08,-0.017035406210995533,0.5724265575408936,14.025553905734201,0.9743767604193341,1,2.009593645079754,0.5568396939339219,2.1677699089050293,0.6043732166290283,1,0,0.21036311984062195,0.18095555901527405,0.5724265575408936
RL,1,2.009593645079754,0.5568396939339219,0.554516613483429,12.874415949441035,1.1511379562931658,1,0.9409260993720702,0.009298195250090839,2.3057594299316406,0.5483670234680176,1,0,0.21072503924369812,0.20334795117378235,0.554516613483429
RL,2,0.6101024252333672,-0.3612565653475754,0.6643285155296326,12.586449323761807,0.34378569214292476,1,-0.15329002749178156,-0.6648833739493528,1.1391874551773071,0.14530643820762634,3,0,0.20852750539779663,0.21119514107704163,0.6643285155296326
RL,3,-0.15329002749178156,-0.6648833739493528,0.5933683514595032,12.416043164855656,0.1704061589061503,1,0.5299961067414981,0.023208769964991476,0.5251810550689697,0.06301036477088928,3,0,0.19605544209480286,0.21920636296272278,0.5933683514595032
RL,4,0.20107946948066813,0.7280167929615805,0.5680112838745117,12.34316464010216,0.04084425490431087,0,0.24785324391761065,0.16047849125791805,0.24761730432510376,0.2136462926864624,3,0,0.19283710420131683,0.19715723395347595,0.5680112838745117
RL,5,0.24785324391761065,0.16047849125791805,0.6010130643844604,12.136553021966357,0.20661161813580264,1,0.1408805331508643,-0.03581015496316022,1.990726351737976,-0.004111915826797485,3,0,0.18924134969711304,0.15278348326683044,0.6010130643844604
RL,6,0.4238468236325088,-0.005097872209194459,0.5817779898643494,12.036351803091199,0.05273369272084416,1,-0.0021706450898689752,-0.005518391013234676,1.724754810333252,0.09312862157821655,3,0,0.1881253719329834,0.19498449563980103,0.5817779898643494
RL,7,0.07135040397614732,-1.0973944904953583,0.5941954255104065,11.227947975436754,0.7516526049834091,1,-0.10650588508413333,-0.38744894201222263,1.3578720092773438,0.08302703499794006,2,0,0.19324997067451477,0.029815413057804108,0.5941954255104065
RL,8,-0.10650588508413333,-0.38744894201222263,0.719529390335083,11.012887000379132,0.21506097505762156,1,0.2471310932885638,0.021837995412230443,0.3570886254310608,0.2063269019126892,3,0,0.21252667903900146,0.1993991732597351,0.719529390335083
RL,9,0.2471310932885638,0.021837995412230443,0.5439310073852539,10.57017817782467,0.44270882255446153,1,0.8459508896166454,1.0999109193596288,1.770298957824707,0.23086881637573242,3,0,0.21793246269226074,0.19329917430877686,0.5439310073852539
RL,10,0.8459508896166454,1.0999109193596288,0.47680455446243286,9.368457470550073,1.201720707274598,1,2.0226388864711318,-0.07006096195923367,2.074772596359253,0.45372727513313293,3,0,0.2214922159910202,0.20540687441825867,0.47680455446243286
RL,11,2.0226388864711318,-0.07006096195923367,0.20015622675418854,8.050014684685728,1.3184427858643453,1,2.0152959017774736,0.028979287308346403,2.028214931488037,0.12729358673095703,2,0,0.20757628977298737,0.17445632815361023,0.20015622675418854
RL,12,2.0152959017774736,0.028979287308346403,0.3837895691394806,6.700302504709167,1.349712179976561,1,1.9229092872650777,-0.05090884011106442,1.91403067111969,0.6705242395401001,0,0,0.18530061841011047,0.20144841074943542,0.3837895691394806
RL,13,1.9229092872650777,-0.05090884011106442,0.479275643825531,5.432589410051943,1.267713094657224,1,1.8619821619172108,-0.2798369229835944,1.856975793838501,0.5694438219070435,0,0,0.18830648064613342,0.21727491915225983,0.479275643825531
RL,14,1.8619821619172108,-0.2798369229835944,0.5052806735038757,4.173539647322324,1.259049762729619,1,1.8554558919870885,0.16080388009116214,1.8520655632019043,0.6707791090011597,0,0,0.19515186548233032,0.18552224338054657,0.5052806735038757
